Rank,Title,Score,Year
1,Bleach: Sennen Kessen-hen - Soukoku-tan,8.98,Oct 2024
2,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.76,Oct 2024
3,One Piece,8.73,Oct 1999
4,Dandadan,8.70,Oct 2024
5,Natsume Yuujinchou Shichi,8.69,Oct 2024
6,Doupo Cangqiong: Nian Fan,8.44,Jul 2022
7,One Piece: Gyojin Tou-hen,8.34,Nov 2024
8,Ao no Hako,8.34,Oct 2024
9,Tunshi Xingkong 4th Season,8.31,Oct 2023
10,Chi. Chikyuu no Undou ni Tsuite,8.29,Oct 2024
11,Shen Yin Wangzuo 2nd Season,8.21,Nov 2022
12,Xian Ni,8.18,Sep 2023
13,Meitantei Conan,8.17,Jan 1996
14,Holo no Graffiti,8.17,May 2019
15,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",8.12,Oct 2024
16,Ranma ½ (2024),8.09,Oct 2024
17,Douluo Dalu II: Jueshi Tangmen,8.05,Jun 2023
18,Beastars Final Season,8.02,Dec 2024
19,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,8.01,Oct 2024
20,Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran,7.98,Oct 2024
21,MF Ghost 2nd Season,7.86,Oct 2024
22,Dragon Ball Daima,7.86,Oct 2024
23,Wanmei Shijie,7.84,Apr 2021
24,Fairy Tail: 100-nen Quest,7.81,Jul 2024
25,Love Live! Superstar!! 3rd Season,7.80,Oct 2024
26,Crayon Shin-chan,7.80,Apr 1992
27,Doraemon (2005),7.71,Apr 2005
28,Yi Nian Yong Heng 3rd Season,7.62,Jul 2024
29,Kamonohashi Ron no Kindan Suiri 2nd Season,7.58,Oct 2024
30,Shixiong A Shixiong 2nd Season,7.54,Dec 2023
31,Wushen Zhuzai,7.53,Mar 2020
32,Zhe Tian,7.53,May 2023
33,Nanatsu no Taizai: Mokushiroku no Yonkishi 2nd Season,7.51,Oct 2024
34,Chiikawa,7.44,Apr 2022
35,Goukon ni Ittara Onna ga Inakatta Hanashi,7.44,Oct 2024
36,Xian Wu Chuan 2nd Season,7.42,Sep 2023
37,Pokemon (2023),7.40,Apr 2023
38,Lian Qi Shi Wan Nian,7.39,Feb 2023
39,Arifureta Shokugyou de Sekai Saikyou Season 3,7.37,Oct 2024
40,Wonderful Precure!,7.37,Feb 2024
41,Ao no Exorcist: Yuki no Hate-hen,7.34,Oct 2024
42,Hifuu Katsudou Kiroku: The Sealed Esoteric History,7.34,Dec 2015
43,"Tensei Kizoku, Kantei Skill de Nariagaru 2nd Season",7.34,Sep 2024
44,Chibi Maruko-chan (1995),7.33,Jan 1995
45,Maou 2099,7.32,Oct 2024
46,Re:Zero kara Hajimeru Break Time 3rd Season,7.28,Oct 2024
47,Sengoku Youko: Senma Konton-hen,7.25,Jul 2024
48,Touhou Niji Sousaku Doujin Anime: Musou Kakyou,7.25,Dec 2008
49,Ling Jian Zun 4th Season,7.25,Sep 2020
50,Ni Tian Zhizun,7.23,Jul 2021
51,Ooi! Tonbo 2nd Season,7.20,Oct 2024
52,NegaPosi Angler,7.17,Oct 2024
53,Rekishi ni Nokoru Akujo ni Naru zo,7.14,Oct 2024
54,Chang Sheng Jie,7.14,Oct 2024
55,Raise wa Tanin ga Ii,7.12,Oct 2024
56,Sword Art Online Alternative: Gun Gale Online II,7.11,Oct 2024
57,Wu Shang Shen Di 2nd Season,7.10,May 2021
58,Kimi wa Meido-sama.,7.08,Oct 2024
59,"Yamato yo, Towa ni: Rebel 3199",7.07,Jul 2024
60,Nintama Rantarou,7.07,Apr 1993
61,Yarinaoshi Reijou wa Ryuutei Heika wo Kouryakuchuu,7.06,Oct 2024
62,Jueshi Zhan Hun,7.05,Apr 2024
63,Kami no Tou: Koubou-sen,7.04,Oct 2024
64,Trillion Game,7.03,Oct 2024
65,"Kekkon suru tte, Hontou desu ka",7.02,Oct 2024
66,Dan Dao Zhizun,7.00,Dec 2023
67,Mecha-ude (TV),6.97,Oct 2024
68,Amagami-san Chi no Enmusubi,6.97,Oct 2024
69,Hoshifuru Oukoku no Nina,6.95,Oct 2024
70,Nageki no Bourei wa Intai shitai,6.93,Oct 2024
71,Seirei Gensouki 2,6.87,Oct 2024
72,Girigiri Warukunai Watame,6.86,Jan 2022
73,Jue Shi Wu Hun,6.84,Oct 2020
74,Beyblade X,6.84,Oct 2023
75,Kabushikigaisha Magi-Lumière,6.83,Oct 2024
76,Dubu Wangu 2nd Season,6.81,Feb 2024
77,Sasayaku You ni Koi wo Utau,6.76,Apr 2024
78,Doraemon (2005) Specials,6.75,Apr 2005
79,Wangu Shenhua,6.71,Aug 2022
80,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",6.71,Jul 2024
81,Blue Lock vs. U-20 Japan,6.65,Oct 2024
82,Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai Season 2,6.65,Aug 2024
83,Shin Tennis no Oujisama: U-17 World Cup Semifinal,6.61,Oct 2024
84,Puniru wa Kawaii Slime,6.58,Oct 2024
85,Sore Ike! Anpanman,6.56,Oct 1988
86,Hyakushou Kizoku 2nd Season,6.53,Oct 2024
87,Ani x Para: Anata no Hero wa Dare desu ka,6.52,Nov 2017
88,MyGO!!!!! Member no Nichijou,6.51,Aug 2022
89,Youkai Gakkou no Sensei Hajimemashita!,6.50,Oct 2024
90,Holo no Graffiti Specials,6.49,Apr 2019
91,Ao no Miburo,6.47,Oct 2024
92,Tono to Inu,6.43,Oct 2024
93,Ojarumaru,6.39,Oct 1998
94,Bonobono (TV 2016),6.38,Apr 2016
95,The iDOLM@STER Shiny Colors 2nd Season,6.37,Oct 2024
96,Kinoko Inu,6.36,Oct 2024
97,Tom to Jerry Gokko,6.34,Nov 2022
98,"Sayounara Ryuusei, Konnichiwa Jinsei",6.28,Oct 2024
99,Mahoutsukai ni Narenakatta Onnanoko no Hanashi,6.24,Oct 2024
100,Touhai: Ura Rate Mahjong Touhairoku,6.21,Oct 2024
